网址链接,#genre#
GitHub网址：https://github.com/75957832/IPTV-URL
IPV6        http://ipv4.chf5762.free.hr    对应网址：https://fanmingming.com/txt?url=https://live.fanmingming.com/tv/m3u/ipv6.m3u
IPV6 备用1  https://mirror.ghproxy.com/https://raw.githubusercontent.com/Ftindy/IPTV-URL/main/GSYD-IPV6.m3u

IPV6,#genre#
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb19]:80/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb22]:80/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb22]:80/ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8
CCTV-1 综合,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001022/index.m3u8
CCTV-2 财经,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001220/index.m3u8
CCTV-3 综艺,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001186/index.m3u8
CCTV-4 中文国际,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001221/index.m3u8
CCTV-5 体育,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001187/index.m3u8
CCTV-5+ 体育赛事,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001334/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-6 电影,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001188/index.m3u8
CCTV-7 国防军事,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001236/index.m3u8
CCTV-8 电视剧,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001189/index.m3u8
CCTV-9 纪录,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001237/index.m3u8
CCTV-10 科教,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001238/index.m3u8
CCTV-11 戏曲,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001309/index.m3u8
CCTV-12 社会与法,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001239/index.m3u8
CCTV-13 新闻,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001328/index.m3u8
CCTV-14 少儿,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001240/index.m3u8
CCTV-15 音乐,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001338/index.m3u8
CCTV-16 奥林匹克,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001248/index.m3u8
CCTV-17 农业农村,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001241/index.m3u8
CCTV-16 奥林匹克 4K,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001258/index.m3u8
CCTV-4K 超高清,http://[2409:8087:2001:20:2800:0:df6e:eb26]:80/ott.mobaibox.com/PLTV/3/224/3221228472/index.m3u8
CCTV-8K 超高清,http://[2409:8087:2001:20:2800:0:df6e:eb02]:80/wh7f454c46tw2749731958_105918260/ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8?icpid=3&RTS=1681529690&from=40&popid=40&hms_devid=2039&prioritypopid=40&vqe=3
北京卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001029/index.m3u8
湖南卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001026/index.m3u8
东方卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001013/index.m3u8
四川卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001130/index.m3u8
天津卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001036/index.m3u8
安徽卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001037/index.m3u8
山东卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001028/index.m3u8
广东卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001032/index.m3u8
广西卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001224/index.m3u8
江苏卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001033/index.m3u8
江西卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001034/index.m3u8
河北卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001229/index.m3u8
河南卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001222/index.m3u8
浙江卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001023/index.m3u8
海南卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001183/index.m3u8
深圳卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001030/index.m3u8
湖北卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001027/index.m3u8
山西卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001070/index.m3u8
东南卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001201/index.m3u8
贵州卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001184/index.m3u8
辽宁卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001035/index.m3u8
重庆卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001129/index.m3u8
黑龙江卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001031/index.m3u8
内蒙古卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001068/index.m3u8
宁夏卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001074/index.m3u8
陕西卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001067/index.m3u8
甘肃卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001298/index.m3u8
吉林卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001225/index.m3u8
云南卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001223/index.m3u8
三沙卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001185/index.m3u8
青海卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001450/index.m3u8
新疆卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001065/index.m3u8
西藏卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001072/index.m3u8
兵团卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001066/index.m3u8
延边卫视,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001470/index.m3u8
厦门卫视,http://[2409:8087:7000:20::4]:80/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226219/index.m3u8
CETV-1,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001020/index.m3u8
CETV-2,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001226/index.m3u8
CETV-4,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001348/index.m3u8
CHC动作电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC家庭影院,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC高清电影,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
兵器科技,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226975/index.m3u8
怀旧剧场,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226972/index.m3u8


IPV6备用1,#genre#
CCTV-1 综合[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226153/1.m3u8
CCTV-1 综合[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226733/1.m3u8
CCTV-1 综合[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226247/1.m3u8
CCTV-2 财经[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226220/1.m3u8
CCTV-3 综艺[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226490/1.m3u8
CCTV-4 中文国际[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226652/1.m3u8
CCTV-5 体育[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226587/1.m3u8
CCTV-5 体育[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226365/1.m3u8
CCTV-5 体育[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226146/1.m3u8
CCTV-5+ 体育赛事[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226253/1.m3u8
CCTV-6 电影[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226148/1.m3u8
CCTV-6 电影[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226492/1.m3u8
CCTV-8 电视剧[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226589/1.m3u8
CCTV-8 电视剧[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226150/1.m3u8
CCTV-9 纪录[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226434/1.m3u8
CCTV-10 科教[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226164/1.m3u8
CCTV-11 戏曲[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226541/1.m3u8
CCTV-12 社会与法[720x540],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226436/1.m3u8
CCTV-13 新闻[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226438/1.m3u8
CCTV-13 新闻[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226705/1.m3u8
CCTV-14 少儿[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226166/1.m3u8
CCTV-15 音乐[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226616/1.m3u8
CCTV-16 奥林匹克[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226413/1.m3u8
CCTV-17 农业农村[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226407/1.m3u8
安徽卫视[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226205/1.m3u8
北京卫视[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226739/1.m3u8
北京卫视[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226161/1.m3u8
东方卫视[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226155/1.m3u8
东方卫视[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226735/1.m3u8
东南卫视[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226182/1.m3u8
甘肃卫视[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226240/1.m3u8
广东卫视[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226180/1.m3u8
贵州卫视[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226547/1.m3u8
海南卫视[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226450/1.m3u8
河北卫视[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226442/1.m3u8
河南卫视[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226614/1.m3u8
湖北卫视[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226159/1.m3u8
湖南卫视[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226656/1.m3u8
湖南卫视[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226193/1.m3u8
江苏卫视[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226737/1.m3u8
江苏卫视[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226157/1.m3u8
江西卫视[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226207/1.m3u8
辽宁卫视[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226209/1.m3u8
山东卫视[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226162/1.m3u8
深圳卫视[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226199/1.m3u8
四川卫视[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226454/1.m3u8
天津卫视[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226191/1.m3u8
浙江卫视[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226144/1.m3u8
重庆卫视[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226551/1.m3u8
黑龙江卫视[1920x1080],http://[2409:8087:74F1:0021::0008]/PLTV/88888888/224/3221226142/1.m3u8


CCTV备用源1,#genre#
CCTV-1 (1080p),http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV-2 (1080p),http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV-4 (1080p),http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV-5 (1080p),http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV-5+ (1080p),http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8
CCTV-7 (1080p),http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
CCTV-8 (1080p),http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8
CCTV-9 (1080p),http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
CCTV-10 (1080p),http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV-13 (1080p),http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV-14 (1080p),http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8
CCTV-15 (1080p),http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8
CCTV-16 (1080p),http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8


CCTV备用源2,#genre#
CCTV-1 (1080p),http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV-2 (1080p),http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV-4 (1080p),http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV-5 (1080p),http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV-7 (1080p),http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
CCTV-8 (1080p),http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8
CCTV-9 (1080p),http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
CCTV-10 (1080p),http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV-13 (1080p),http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV-14 (1080p),http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8

